,video_id,channelTitle,title,description,tags,publishedAt,viewCount,likeCount,favouriteCount,commentCount,duration,definition,caption,pushblishDayName,durationSecs,tagCount,title_no_stopwords,durationMins
0,K461I5fAzZw,愛莉莎莎 Alisasa,Le labo東京有上榜？無業配開箱愛用香水前5名😍｜愛莉莎莎Alisasa,"══════════════════════════════
任何合作邀約請洽Pressplay Email :
alisasa@pressplay.cc
══════════════════════════════
追蹤我 Follow Me 
★Facebook粉絲專頁: https://www.facebook.com/alisasa11111/
★Instagram: goodalicia
══════════════════════════════",,2023-02-08 10:05:37+00:00,145548.0,4650.0,,610.0,PT14M53S,hd,false,Wednesday,893.0,0,"['Le', 'labo東京有上榜？無業配開箱愛用香水前5名😍｜愛莉莎莎Alisasa']",14.883333333333333
1,L6RKttvEuhc,愛莉莎莎 Alisasa,窮到付不出貸款？失戀💔？回顧2022的五件人生大事！｜愛莉莎莎Alisasa,"感謝留在我身邊的大家
才讓我有從地獄到天堂的一天❤️❤️❤️

歡迎大家來上我的自媒體銷售學
連結在這兒唷！
https://sat.cool/course/42

══════════════════════════════
任何合作邀約請洽Pressplay Email :
alisasa@pressplay.cc
══════════════════════════════
追蹤我 Follow Me 
★Facebook粉絲專頁: https://www.facebook.com/alisasa11111/
★Instagram: goodalicia
══════════════════════════════",,2023-01-24 09:54:55+00:00,455763.0,19208.0,,755.0,PT13M20S,hd,false,Tuesday,800.0,0,['窮到付不出貸款？失戀💔？回顧2022的五件人生大事！｜愛莉莎莎Alisasa'],13.333333333333334
2,TdEf4GtlFqI,愛莉莎莎 Alisasa,裝潢美到哭😭開箱我人生第二間房子！｜愛莉莎莎Alisasa,"來跟大家分享一下新家的小秘密
新家買完的金額是39xx萬
但是我只付20%頭期款 其他都是30年的貸款
這些錢呢 剛好就是我把萬華房子賣掉的費用！
所以是小屋換大屋的概念～無痛換房
（以後還貸款再來痛就好😂）

再來家裡的家具付給大家一下連結：

📌 發億金庫：https://www.renpu.com.tw/

米老鼠版本，真心好用推推推！

📌 阿爾薩斯木地板: https://www.alsafloor.com.tw
（愛莉森橡木）

📌 pergo 木地板：北歐橡木



除了這個還有什麼想問的也可以再留言問我 
我都會回答唷❤️


══════════════════════════════
任何合作邀約請洽Pressplay Email :
alisasa@pressplay.cc
══════════════════════════════
追蹤我 Follow Me 
★Facebook粉絲專頁: https://www.facebook.com/alisasa11111/
★Instagram: goodalicia
══════════════════════════════",,2023-01-18 09:56:58+00:00,1054303.0,23031.0,,1121.0,PT14M3S,hd,false,Wednesday,843.0,0,['裝潢美到哭😭開箱我人生第二間房子！｜愛莉莎莎Alisasa'],14.05
3,RsgUsWIqTuw,愛莉莎莎 Alisasa,去首爾做今年最流行的「命定色彩鑑定」🇰🇷做完立刻大改造！｜愛莉莎莎Alisasa,"📍去韓國做personal color的地方：
My shopper 마이쇼퍼 （狎鷗亭站）
https://www.my-shopper.com/ 

IG ：my_shopper_color 

📍韓國弄頭髮的地方 （弘大站）
Lowe 로위 （Hyemin老師）
https://lowehair.kr/

韓文老師line: 
(要學韓文可以找她教的很好👍🏻）
lucykorean


══════════════════════════════
任何合作邀約請洽Pressplay Email :
alisasa@pressplay.cc
══════════════════════════════
追蹤我 Follow Me 
★Facebook粉絲專頁: https://www.facebook.com/alisasa11111/
★Instagram: goodalicia
══════════════════════════════",,2022-12-30 09:43:06+00:00,480584.0,11584.0,,325.0,PT11M25S,hd,false,Friday,685.0,0,['去首爾做今年最流行的「命定色彩鑑定」🇰🇷做完立刻大改造！｜愛莉莎莎Alisasa'],11.416666666666666
4,IytLwjziXKk,愛莉莎莎 Alisasa,【YouTuber交換機票】抽到治安堪憂的菲律賓🇵🇭…如何度過充滿危險的72小時？#聖誕節交換機票｜愛莉莎莎Alisasa,"這邊是其他參與交換機票的人唷💗

黃氏兄弟 https://youtu.be/gzkI1insamo
展榮展瑞 https://krbros.pros.si/4n8wp2
滴妹 https://youtu.be/KbMKinTYXpE
一隻阿圓 https://youtu.be/JAvPbqr9SwQ
魚乾 https://youtu.be/vFoWnrwMVeo
愛莉莎莎 https://www.youtube.com/watch?v=IytLwjziXKk
卡特 https://youtu.be/_yzf9XZkiq0
薔薔 https://youtube.com/watch?v=_fkS3fLhwjY&feature=shares

══════════════════════════════
任何合作邀約請洽Pressplay Email :
alisasa@pressplay.cc
══════════════════════════════
追蹤我 Follow Me 
★Facebook粉絲專頁: https://www.facebook.com/alisasa11111/
★Instagram: goodalicia
══════════════════════════════",,2022-12-23 10:01:23+00:00,479678.0,10667.0,,583.0,PT15M59S,hd,false,Friday,959.0,0,['【YouTuber交換機票】抽到治安堪憂的菲律賓🇵🇭…如何度過充滿危險的72小時？#聖誕節交換機票｜愛莉莎莎Alisasa'],15.983333333333333
5,tf5WktvDV2w,愛莉莎莎 Alisasa,120萬訂閱Q&A來了😱回答好多平常不敢講的問題…｜愛莉莎莎Alisasa,"我的線上課「愛莉莎莎自媒體銷售學」
從「流量經營」到「熱銷熱賣」的秘密 
今天上線啦😎

🔎 課程連結：https://hi.sat.cool/NbjGl

 12/8-1/15 募資期間才有「超早鳥優惠」三折起！
趕快買起來❤️
🌟使用折扣碼「愛莉莎莎350」可以再折350元唷！
-
知識衛星公告：

感謝眾多好友支持「愛莉莎莎的自媒體銷售學」線上課程，目前網站流量超載導致無法進入頁面、載入速度過慢、折扣碼出現異常等問題，目前知識衛星工程團隊全力修復中，造成大家購買體驗上的不愉快與權益上的損失，團隊在此致上歉意。

為了保障大家的購課權益，經團隊討論後決議「將3240元的28折超早鳥優惠延長一天至12/10 23:59（原訂12/09 23:59）」，折扣碼也都還可以持續使用，以保障所有人購買本課程的權益，也非常謝謝各位的支持與等候，後續網站的修復狀況也都會再與各位做更新！謝謝。

══════════════════════════════
任何合作邀約請洽Pressplay Email :
alisasa@pressplay.cc
══════════════════════════════
追蹤我 Follow Me 
★Facebook粉絲專頁: https://www.facebook.com/alisasa11111/
★Instagram: goodalicia
══════════════════════════════",,2022-12-09 09:57:29+00:00,486416.0,13708.0,,704.0,PT15M21S,hd,false,Friday,921.0,0,['120萬訂閱Q&A來了😱回答好多平常不敢講的問題…｜愛莉莎莎Alisasa'],15.35
6,fawPpuTova8,愛莉莎莎 Alisasa,我的「自媒體銷售學」線上課，要開賣啦！｜愛莉莎莎Alisasa #shorts #shortvideo,"🔥被敲碗敲到爆的線上課，終於要開賣啦 🔎課程介紹：https://hi.sat.cool/RK7Kb 
❝ 愛莉莎莎的自媒體銷售學 ❞ #12月8日（四）12:00 #準時上線 
➤ 前往「FB貼文留言」#自媒體銷售學：https://hi.sat.cool/x8cwx 
➤ 直接領取「 低於3折優惠＋350元限量折扣碼」

⋯⋯⋯

「素人開團也能淨賺百萬？」
「店家品牌如何透過IG增加客源？」
「網紅如何突破瓶頸，找到變紅的方法？」

#嗨大家好我是愛莉莎莎 
#我在知識衛星開課囉

👉 全台唯一 #衝流量 #爆銷售 #高CP 的線上課程 👈
◐ 企劃選題課：告訴你如何找到會紅的主題與企劃！
◐ 社群定位課：教你精準找到最適合自己風格的社群定位！
◐ 網紅合作課：首次公開合作價碼公式＋邀約信件範例文！

❗️不只這些❗️更多乾貨與扎實內容，愛莉莎莎這次全部教給你
🔎 課程介紹：https://hi.sat.cool/RK7Kb  

⋯⋯⋯

❝ 我希望能打造一堂人人都可以輕易上手的課程 ❞

你不需要是行銷專家或是擁有百萬流量的網紅，無論你是網紅、素人、上班族、品牌方、家庭主婦，都能在全新的自媒體時代下找到關鍵的銷售秘密！

【 愛莉莎莎的自媒體銷售學 】
從「流量經營」到「熱銷熱賣」的秘密 #絕不藏私！
👉 12/8-1/15 募資熱賣優於45折，激省6000元起
👉 到「FB貼文留言」 #自媒體銷售學 或 #你想學的社群銷售技巧
就可以再收到「 $350元」線上課程限量折價券
🔎 前往FB貼文： https://hi.sat.cool/x8cwx 
══════════════════════════════
任何合作邀約請洽Pressplay Email :
alisasa@pressplay.cc
══════════════════════════════
追蹤我 Follow Me 
★Facebook粉絲專頁: https://www.facebook.com/alisasa11111/
★Instagram: goodalicia
══════════════════════════════",,2022-12-07 09:30:08+00:00,32584.0,858.0,,39.0,PT1M,hd,false,Wednesday,60.0,0,"['我的「自媒體銷售學」線上課，要開賣啦！｜愛莉莎莎Alisasa', '#shorts', '#shortvideo']",1.0
7,-cd6wGCLitc,愛莉莎莎 Alisasa,開箱我的「地表最強助理」! 上輩子有好好燒香才聘的到…😭｜愛莉莎莎Alisasa,"大家喜歡這樣的助理嗎？
在我助理的照顧下
我完全變廢人了 好幸福🥰

另外 假如身邊有一點臭臭的朋友
可以很委婉的送他這個當聖誕節禮物😂
或是自己的腋下 腳 汗 怕會不小心干擾到別人的人
我都非常非常推薦「FLUFFY nOSE的芳香噴霧」

📌 超強噴霧在這邊：
https://www.fluffynose.com.tw/pages/alisasa-fluffynose?sl-ref=alisasa88
優惠期間：12/2~12/16
原價：$760 ➡️ 團購價：$680
限購3000瓶唷
══════════════════════════════
任何合作邀約請洽Pressplay Email :
alisasa@pressplay.cc
══════════════════════════════
追蹤我 Follow Me 
★Facebook粉絲專頁: https://www.facebook.com/alisasa11111/
★Instagram: goodalicia
══════════════════════════════",,2022-12-02 10:00:00+00:00,373818.0,7648.0,,553.0,PT12M17S,hd,false,Friday,737.0,0,"['開箱我的「地表最強助理」!', '上輩子有好好燒香才聘的到…😭｜愛莉莎莎Alisasa']",12.283333333333333
8,JiptNQ1m6jA,愛莉莎莎 Alisasa,花38000元「無痛搬家」😱不用打包，就能一日內入住新家？｜愛莉莎莎Alisasa,"終於…
跟我住了三年的萬華小套房說再見啦
不得不說…
無痛搬家真的超爽🤣
感謝末羊
（本影片完全沒有整理公司業配）
但是有Surfshark乾爹贊助😎

放一下Surfshark乾爹連結

📌 Surfshark VPN：
https://surfshark.deals/ALISASA
折扣碼「ALISASA」唷！
══════════════════════════════
任何合作邀約請洽Pressplay Email :
alisasa@pressplay.cc
══════════════════════════════
追蹤我 Follow Me 
★Facebook粉絲專頁: https://www.facebook.com/alisasa11111/
★Instagram: goodalicia
══════════════════════════════",,2022-11-25 09:30:05+00:00,635525.0,11095.0,,614.0,PT10M5S,hd,false,Friday,605.0,0,['花38000元「無痛搬家」😱不用打包，就能一日內入住新家？｜愛莉莎莎Alisasa'],10.083333333333334
9,E1LTQjIh1pE,愛莉莎莎 Alisasa,台灣最貴民宿在宜蘭？了了礁溪真的太讓我驚艷了…..｜愛莉莎莎Alisasa,"礁溪了了真的是我在台灣數一數二喜歡的民宿😍
漢城淨雪則是數一數二喜歡的保養品！😂🥰❤️

#漢城淨雪代言人 #漢城淨雪 #jeogseoul
-
人生首次代言👏影片用的保養在這邊💕：
頂級韓萃【JeogSeoul漢城淨雪】🛒https://lihi2.cc/MNInA

｜愛莉莎莎代言首月限定優惠｜
🎁1+1 小C限量套組🎁
凡購買小C霜＋任意品項，即贈莎莎同款髮帶（限量200條）
🎁4+1 全系列保養套組🎁
凡購買全品項商品，即贈送CC慕斯1支（售價899元）

快來跟我一起變成韓式水煮蛋肌吧📢🤗
📌 限時輸入莎莎折扣碼【SASA】，免運後加碼享折扣金100元唷！🛒💰💰 

══════════════════════════════
任何合作邀約請洽Pressplay Email :
alisasa@pressplay.cc
══════════════════════════════
追蹤我 Follow Me 
★Facebook粉絲專頁: https://www.facebook.com/alisasa11111/
★Instagram: goodalicia
══════════════════════════════",,2022-11-18 11:07:02+00:00,362820.0,6267.0,,191.0,PT16M22S,hd,false,Friday,982.0,0,['台灣最貴民宿在宜蘭？了了礁溪真的太讓我驚艷了…..｜愛莉莎莎Alisasa'],16.366666666666667
